miRNA,BreastC,BreastC,BreastC,BreastC,BreastC,Control,Control,Control,Control,Control,BreastC,BreastC,HepatocelularC,BreastC,BreastC,ColonC,GallbladderC
hsa-miR-194-3p,0,0,0,4,1,0,9,1,1,1,1,0,2,0,1,0,0
hsa-miR-106b-5p,30,65,1063,2515,6584,206,1730,2590,1982,4763,4017,1153,2783,3506,2931,1635,970
hsa-miR-106b-3p,0,6,40,616,2295,92,535,493,485,535,967,160,370,302,343,306,103
hsa-miR-29c-5p,0,0,25,87,71,3,41,40,23,115,46,19,39,73,48,18,17
hsa-miR-29c-3p,11,77,913,7272,27500,682,5245,2571,4079,20267,8114,3470,10875,8091,8905,7443,5332
hsa-miR-30c-1-3p,8,18,527,408,395,7,335,544,289,888,317,140,469,659,785,450,133
hsa-miR-200a-5p,0,1,0,2,25,0,4,3,3,17,20,2,8,0,35,142,30
hsa-miR-200a-3p,0,6,23,88,349,8,27,59,42,134,148,20,87,78,419,1421,255
hsa-miR-302a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
hsa-miR-302a-3p,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-101-2-5p,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
hsa-miR-219a-2-3p,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,7
hsa-miR-34b-5p,0,0,5,0,8,1,0,1,0,4,1,0,6,3,16,6,9
hsa-miR-34b-3p,0,0,1,0,9,0,2,1,3,0,0,0,0,0,3,0,0
hsa-miR-34c-5p,0,0,0,17,78,3,6,0,4,3,16,9,11,13,96,0,1
hsa-miR-34c-3p,0,0,0,7,0,0,7,0,5,0,0,0,0,1,2,8,4
hsa-miR-299-5p,0,2,41,170,281,11,259,58,149,358,99,23,333,293,246,24,9
hsa-miR-299-3p,0,2,34,126,205,5,88,33,46,637,69,18,521,396,377,87,20
hsa-miR-301a-5p,0,0,0,1,2,0,0,1,0,3,0,1,4,1,2,2,3
hsa-miR-301a-3p,5,11,157,536,984,13,490,493,496,1743,510,236,630,722,670,347,237
hsa-miR-99b-5p,19,34,2194,4974,4591,171,5602,5886,2734,10013,5191,1474,3985,10991,7069,3460,1373
hsa-miR-99b-3p,0,7,97,140,159,0,76,132,38,167,68,29,59,149,134,46,11
hsa-miR-296-5p,0,0,5,16,40,1,3,7,10,17,16,8,1,0,14,0,0
hsa-miR-296-3p,0,0,33,26,44,2,28,5,24,38,27,10,23,47,59,124,26
hsa-miR-130b-5p,0,0,19,29,46,1,25,21,33,30,42,6,7,14,21,0,0
hsa-miR-130b-3p,88,166,2776,8393,16304,245,5077,5471,4937,14002,6991,2456,8512,8001,8999,6065,2921
hsa-miR-30e-5p,20,117,1643,6113,27926,637,3873,2853,3664,17255,8159,3080,9832,7616,8931,4848,4048
hsa-miR-30e-3p,74,277,7124,6620,11356,206,11127,10750,10578,34097,13308,4465,13986,19691,21211,12558,7105
hsa-miR-26a-2-3p,0,0,3,5,15,0,3,1,5,9,1,4,0,7,3,0,0
hsa-miR-361-5p,21,104,1881,7989,16926,256,9718,8363,6427,19145,13102,4362,9491,12139,14917,8038,3929
hsa-miR-361-3p,0,0,3,36,21,2,12,30,12,98,33,9,15,29,27,0,5
hsa-miR-362-5p,3,3,92,275,375,4,369,321,188,367,521,125,242,441,482,176,98
hsa-miR-362-3p,0,0,0,0,9,0,2,0,3,0,0,0,0,0,1,0,0
hsa-miR-363-5p,0,0,0,3,28,2,2,2,3,9,9,0,18,5,12,11,4
hsa-miR-363-3p,14,28,231,547,5069,241,668,354,435,367,1472,217,555,347,393,677,210
hsa-miR-365a-5p,0,0,3,3,67,2,2,4,1,0,17,2,3,7,5,38,8
hsa-miR-365a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-365b-5p,0,0,0,1,5,0,2,0,0,0,5,0,1,4,0,0,0
hsa-miR-365b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-302b-5p,0,0,0,0,0,0,0,0,1,0,5,0,0,20,2,7,0
hsa-miR-302b-3p,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-302c-5p,0,0,0,0,6,1,0,0,0,0,0,1,0,0,2,9,0
hsa-miR-302c-3p,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-302d-5p,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-302d-3p,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0
hsa-miR-367-5p,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1
hsa-miR-367-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-376c-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-376c-3p,9,105,1545,4222,10142,152,6646,2515,3825,6490,4175,713,5027,5592,6182,995,246
hsa-miR-369-5p,8,92,1479,1750,2526,75,1675,773,914,2537,955,141,2364,2083,2275,515,112
hsa-miR-369-3p,1,3,101,377,813,8,1191,322,680,450,667,92,346,352,390,317,52
hsa-miR-370-5p,0,0,3,12,11,4,22,4,10,26,10,1,23,20,30,5,12
hsa-miR-370-3p,0,0,4,6,10,0,13,2,18,26,1,0,2,6,11,10,3
hsa-miR-371a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-371a-3p,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0
hsa-miR-372-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-372-3p,0,0,0,0,4,0,0,0,3,0,0,4,3,0,1,0,0
hsa-miR-373-5p,0,0,0,1,7,0,0,0,0,2,0,0,0,0,3,0,2
hsa-miR-373-3p,0,0,0,28,11,0,3,13,2,30,13,1,11,7,31,4,6
hsa-miR-374a-5p,6,19,448,3121,7482,123,4134,2662,4111,8940,4252,2723,2979,5008,3678,2493,1807
hsa-miR-374a-3p,1,6,141,376,854,22,633,371,445,2346,511,353,692,1063,847,551,563
hsa-miR-375-5p,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0
hsa-miR-375-3p,6,46,325,457,4122,38,689,222,795,934,1887,353,1834,1017,4819,589,286
hsa-miR-376a-5p,0,0,0,3,5,0,9,3,6,13,0,1,13,8,3,0,0
hsa-miR-376a-3p,2,58,1007,3452,8067,78,4252,1776,2479,9114,2389,479,6404,5239,6294,1026,242
hsa-miR-377-5p,0,0,0,3,5,0,10,0,6,17,7,0,5,30,11,0,4
hsa-miR-377-3p,0,0,3,41,94,1,41,11,31,42,22,5,16,23,29,0,0
hsa-miR-378a-5p,0,0,0,5,11,0,8,12,5,26,10,3,13,9,18,17,6
hsa-miR-378a-3p,6,26,374,1172,5203,143,1172,647,746,1740,2160,638,1631,1704,1707,932,496
hsa-miR-379-5p,1,26,321,612,729,33,723,356,393,921,361,48,857,852,917,233,54
hsa-miR-379-3p,0,0,0,11,13,1,17,4,18,28,1,0,10,21,9,4,9
hsa-miR-380-5p,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0
hsa-miR-380-3p,0,0,0,8,21,0,8,5,8,29,2,4,13,20,19,3,0
hsa-miR-381-5p,0,0,7,2,1,1,1,0,0,5,0,0,0,0,0,0,0
hsa-miR-381-3p,3,56,642,1249,2036,27,1337,566,755,3121,1101,191,2967,3310,3293,454,76
hsa-miR-382-5p,71,302,5704,4245,7916,122,8373,3428,4155,9531,4509,606,10993,10351,12215,3586,659
hsa-miR-382-3p,0,0,1,3,11,0,19,6,6,10,8,0,8,12,10,4,0
hsa-miR-383-5p,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-383-3p,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0
hsa-miR-340-5p,20,129,2499,8480,17178,255,9480,7526,9793,47110,10210,7692,13646,16451,15866,7991,7407
hsa-miR-340-3p,0,0,0,4,7,2,5,14,13,17,5,1,4,1,3,10,0
hsa-miR-330-5p,0,0,14,26,44,0,22,33,29,62,59,16,31,63,62,18,4
hsa-miR-330-3p,0,0,23,134,141,2,91,133,85,227,92,35,60,100,95,37,14
hsa-miR-328-5p,1,0,0,4,22,0,0,2,3,3,0,0,0,0,5,12,0
hsa-miR-328-3p,7,11,238,648,762,6,459,665,468,1150,663,184,429,499,646,263,66
hsa-miR-342-5p,0,0,0,4,17,0,8,9,13,5,12,3,9,1,23,0,1
hsa-miR-342-3p,33,94,1119,2380,6102,177,3530,2077,2746,9568,4952,1655,3725,3076,5762,4578,3792
hsa-miR-337-5p,4,10,143,369,648,7,336,209,341,873,343,45,580,521,498,62,20
hsa-miR-337-3p,0,0,5,18,25,0,21,20,25,63,10,0,45,20,11,13,0
hsa-miR-323a-5p,0,2,37,42,62,2,112,32,28,48,33,6,67,69,109,56,0
hsa-miR-323a-3p,0,10,130,309,703,16,506,187,270,838,371,34,923,557,813,282,25
hsa-miR-326,1,0,30,92,107,2,37,41,38,156,57,25,33,89,82,21,12
hsa-miR-151a-5p,5332,3925,120591,139262,120701,2838,77108,165790,73370,254769,126745,36015,117124,161426,185334,105226,48825
hsa-miR-151a-3p,205,370,6541,19728,20019,472,11718,19602,12495,41405,14095,4392,16096,19353,23951,12819,6698
hsa-miR-135b-5p,0,0,2,0,0,0,1,3,1,0,2,0,0,0,0,0,0
hsa-miR-135b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-148b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-148b-3p,18,19,228,493,749,15,446,522,548,929,506,152,387,695,529,311,243
hsa-miR-331-5p,0,0,0,18,75,0,7,27,7,35,9,2,21,9,9,14,2
hsa-miR-331-3p,0,1,18,182,151,7,87,134,118,269,123,36,100,68,98,21,0
hsa-miR-324-5p,11,18,240,808,3211,92,436,613,402,1552,1344,215,1466,911,957,624,343
hsa-miR-324-3p,1,1,26,206,166,0,40,92,56,194,88,30,100,106,69,17,7
hsa-miR-338-5p,2,0,2,2,6,1,4,5,4,7,10,2,0,4,2,0,0
hsa-miR-338-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-339-5p,8,18,176,1958,1777,14,576,849,555,4925,1201,631,2175,1405,1906,609,232
hsa-miR-339-3p,42,97,2357,4426,6421,116,1906,2850,1792,7483,3259,1278,3391,3697,4279,1817,856
hsa-miR-335-5p,169,919,20377,25611,66073,547,30132,30636,26272,107848,29813,19890,35471,50532,52842,27636,22268
hsa-miR-335-3p,1,0,1,5,16,1,35,22,49,47,60,18,12,60,34,13,10
hsa-miR-133b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-325,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0
hsa-miR-345-5p,0,1,46,376,1577,35,283,228,217,1219,578,224,607,457,846,346,177
hsa-miR-345-3p,0,0,2,0,5,1,0,0,0,1,2,0,0,0,0,0,0
hsa-miR-346,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
hsa-miR-384,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
hsa-miR-196b-5p,1,3,36,150,474,19,177,149,125,295,209,31,148,181,109,286,42
hsa-miR-196b-3p,0,0,0,0,4,0,0,2,1,0,1,0,0,0,0,4,1
hsa-miR-422a,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0
hsa-miR-423-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-423-3p,4,10,276,1017,1500,18,877,1096,1051,999,1313,310,461,1149,905,336,175
hsa-miR-424-5p,9,28,594,1168,10646,188,2238,596,2155,6696,1510,957,2149,1858,5040,7092,1954
hsa-miR-424-3p,1,8,120,196,1115,22,218,131,136,389,249,73,182,154,478,655,94
hsa-miR-425-5p,40,116,1283,5769,24904,803,5665,4568,5279,6744,11377,2862,5177,5716,6213,3708,2164
hsa-miR-425-3p,21,48,859,2511,2222,48,878,1115,639,2930,1074,395,925,1383,1356,725,310
hsa-miR-18b-5p,1,1,4,28,325,12,14,26,14,99,50,12,66,46,27,55,13
hsa-miR-18b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hsa-miR-20b-5p,13,185,988,5508,64325,1573,4186,3551,4028,13179,12665,2524,17705,5243,5353,12925,4029
hsa-miR-20b-3p,0,0,0,5,0,0,0,2,0,0,0,0,1,0,0,0,0
hsa-miR-448,0,0,0,0,4,0,5,0,0,0,0,0,2,0,0,0,10
hsa-miR-429,0,0,8,39,178,0,19,42,30,131,52,19,63,125,119,646,70
hsa-miR-449a,0,5,28,72,104,0,38,77,13,131,53,18,59,57,85,33,7
hsa-miR-450a-5p,1,3,76,80,646,15,383,95,269,652,279,144,231,391,447,610,216
hsa-miR-450a-1-3p,2,0,0,9,17,1,9,5,2,13,13,6,8,2,2,15,8
hsa-miR-431-5p,7,47,634,1282,2122,40,2066,720,1335,2310,2116,154,2889,3377,2551,559,81
hsa-miR-431-3p,0,1,10,43,34,2,56,21,33,111,39,3,127,76,115,17,0
hsa-miR-433-5p,0,0,14,28,40,0,24,16,15,35,22,5,61,54,58,0,0
hsa-miR-433-3p,1,2,12,31,87,0,49,19,23,14,52,4,32,29,43,8,18
hsa-miR-329-5p,0,0,0,1,10,0,9,2,1,4,3,0,5,4,1,11,11
hsa-miR-329-3p,0,0,21,22,14,0,31,9,25,20,15,4,14,17,49,0,1
hsa-miR-451a,37,343,1139,12213,126087,5293,9530,3574,10964,7825,32225,3563,12279,7503,3196,8200,3749
hsa-miR-452-5p,0,0,9,1,10,0,0,0,2,14,1,2,11,10,7,58,21
hsa-miR-452-3p,0,0,0,0,0,0,0,0,2,3,0,1,0,0,4,0,1
hsa-miR-409-5p,0,2,32,130,359,5,218,54,90,316,74,12,246,185,159,55,11
hsa-miR-409-3p,0,22,261,573,1477,17,1293,424,776,1775,706,88,2003,1666,2030,465,101
hsa-miR-412-5p,0,0,0,26,39,0,45,8,8,20,20,0,50,10,29,15,0
hsa-miR-412-3p,0,0,1,0,11,3,5,0,0,3,0,0,0,6,0,4,2
hsa-miR-410-5p,0,1,0,3,0,0,2,0,2,1,4,0,0,0,2,0,0
hsa-miR-410-3p,0,0,4,8,19,0,20,5,3,14,3,0,4,3,6,0,0
hsa-miR-376b-5p,0,0,0,0,0,0,3,0,2,0,0,0,3,0,0,4,0
hsa-miR-376b-3p,12,56,711,1648,4218,56,2242,852,1233,4849,1396,297,4415,3764,4889,781,238
hsa-miR-483-5p,3,10,259,190,2037,20,712,48,322,473,702,277,857,602,1068,281,419
hsa-miR-483-3p,0,2,0,16,89,0,21,9,12,17,24,18,14,35,36,6,14
hsa-miR-484,2,46,918,5766,9395,246,2823,3067,2805,5555,5893,1853,2788,2533,2945,1257,410
hsa-miR-485-5p,3,10,250,158,343,3,287,134,130,193,159,13,278,285,324,84,0
hsa-miR-485-3p,0,2,20,64,74,1,127,68,110,112,112,15,121,111,131,14,1
hsa-miR-486-5p,177,3899,17460,79546,953401,24012,80747,37410,53098,106840,247397,26314,285578,89361,104080,247590,57459
hsa-miR-486-3p,7,69,382,1133,4379,234,756,461,450,313,1858,208,761,475,440,1068,177
hsa-miR-487a-5p,0,0,3,2,7,0,2,4,0,3,2,3,5,0,0,0,0
hsa-miR-487a-3p,0,0,6,10,22,0,12,7,7,21,7,2,5,14,6,0,0
hsa-miR-488-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-488-3p,0,0,0,1,3,0,0,0,0,0,0,0,0,3,0,0,8
hsa-miR-489-5p,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-489-3p,0,0,2,5,10,2,7,5,5,7,12,6,8,4,11,0,3
hsa-miR-490-5p,0,1,11,3,89,13,15,7,27,1,25,2,53,28,25,98,57
hsa-miR-490-3p,1,0,4,6,20,0,5,15,0,3,16,3,10,7,9,13,0
hsa-miR-491-5p,0,0,3,15,12,0,13,21,6,32,23,4,11,12,20,10,0
hsa-miR-491-3p,0,0,4,5,3,0,4,4,10,14,9,8,1,2,4,1,0
hsa-miR-511-5p,0,0,0,0,0,0,3,0,0,0,0,0,3,3,1,0,0
hsa-miR-511-3p,0,1,0,12,22,0,10,0,2,9,2,3,3,0,4,0,11
hsa-miR-146b-5p,4,14,380,2454,5191,88,2536,2971,2311,7570,3557,1447,2377,3173,2890,1924,1251
hsa-miR-146b-3p,0,0,0,2,0,0,0,0,1,4,0,0,1,0,3,0,0
hsa-miR-202-5p,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
hsa-miR-202-3p,0,1,5,4,11,0,4,1,3,6,4,0,8,0,4,0,11
hsa-miR-492,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-493-5p,0,15,206,475,899,15,996,271,538,820,809,52,756,1066,879,268,47
hsa-miR-493-3p,2,18,432,700,775,12,533,309,355,1029,602,52,1028,1127,1192,173,35
hsa-miR-432-5p,22,226,4277,2747,6603,80,9059,1919,4148,5767,4856,276,11602,6761,8894,3385,377
hsa-miR-432-3p,0,0,0,1,10,0,0,0,0,0,0,2,0,0,3,0,4
hsa-miR-494-5p,0,0,6,15,16,0,19,10,10,25,18,0,19,23,35,21,0
hsa-miR-494-3p,0,6,37,115,412,9,230,48,89,422,81,24,348,201,208,73,43
hsa-miR-495-5p,0,0,29,30,163,3,146,36,69,132,95,7,127,157,149,56,0
hsa-miR-495-3p,0,0,2,13,38,0,22,11,23,15,15,3,11,12,17,0,0
hsa-miR-496,0,0,0,51,61,2,37,15,24,79,13,3,75,41,24,4,11
hsa-miR-193b-5p,1,3,44,42,219,7,442,6,138,80,311,63,262,250,162,672,74
hsa-miR-193b-3p,0,0,0,1,4,1,12,0,8,0,7,1,0,0,2,4,0
hsa-miR-497-5p,0,6,32,321,945,26,190,176,200,444,315,126,319,293,467,123,171
hsa-miR-497-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-181d-5p,6,4,71,208,194,2,198,225,226,72,318,52,31,166,118,22,28
hsa-miR-181d-3p,0,0,5,9,17,2,10,9,2,16,15,0,1,5,15,0,0
hsa-miR-512-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
hsa-miR-512-3p,0,0,0,2,6,0,5,0,5,2,2,0,0,1,2,0,0
hsa-miR-498-5p,0,0,0,1,9,0,1,0,0,4,0,1,0,0,1,0,0
hsa-miR-498-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
hsa-miR-520e-5p,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0
hsa-miR-520e-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-515-5p,0,0,0,2,2,0,1,1,0,9,1,0,2,0,0,0,0
hsa-miR-515-3p,0,0,3,2,19,0,4,0,2,22,4,5,1,0,4,0,0
hsa-miR-519e-5p,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
hsa-miR-519e-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-520f-5p,0,0,0,14,26,0,2,0,8,37,7,2,3,4,11,7,0
hsa-miR-520f-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-519c-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-519c-3p,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0
hsa-miR-520a-5p,0,0,2,1,2,0,8,0,6,17,2,1,6,0,3,0,0
hsa-miR-520a-3p,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0
hsa-miR-526b-5p,0,0,0,3,22,0,1,0,0,22,0,0,7,0,6,0,0
hsa-miR-526b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-519b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-519b-3p,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hsa-miR-525-5p,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hsa-miR-525-3p,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
hsa-miR-523-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-523-3p,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
hsa-miR-518f-5p,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-518f-3p,0,0,0,0,2,0,0,0,0,1,0,2,0,0,3,0,8
hsa-miR-520b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-520b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-518b,0,0,0,5,16,1,3,2,1,37,10,7,6,2,7,11,0
hsa-miR-526a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-526a-3p,0,0,0,0,5,0,0,2,4,4,4,1,1,0,0,2,0
hsa-miR-520c-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-520c-3p,0,0,0,1,0,0,1,0,0,4,1,0,0,0,0,0,0
hsa-miR-518c-5p,0,0,0,0,0,0,0,0,0,1,0,2,0,5,0,0,0
hsa-miR-518c-3p,0,1,5,4,17,0,1,1,2,16,0,5,6,4,3,0,0
hsa-miR-524-5p,0,0,0,2,29,1,3,3,4,36,3,0,2,0,9,4,12
hsa-miR-524-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-517-5p,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,2,0
hsa-miR-517a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-519d-5p,0,0,0,1,3,0,3,0,1,6,0,0,0,0,0,9,0
hsa-miR-519d-3p,0,0,0,0,2,0,1,0,4,1,4,0,0,0,0,0,0
hsa-miR-521,0,0,3,1,36,3,10,1,20,1,14,4,4,0,7,13,7
hsa-miR-520d-5p,0,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0
hsa-miR-520d-3p,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-517b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-520g-5p,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,4,0
hsa-miR-520g-3p,0,1,0,1,10,3,10,0,0,11,4,1,5,2,0,4,0
hsa-miR-516b-5p,0,0,5,2,13,0,0,0,4,1,3,0,0,0,0,0,0
hsa-miR-516b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-518e-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-518e-3p,0,0,0,3,16,1,0,4,2,4,0,0,0,0,2,0,0
hsa-miR-518a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-518a-3p,0,0,1,0,15,1,0,0,0,2,0,0,1,0,0,0,0
hsa-miR-518d-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-518d-3p,0,0,0,0,0,0,0,0,0,6,0,0,3,1,0,0,0
hsa-miR-517c-3p,0,0,0,5,19,0,7,1,2,30,3,5,3,7,6,0,0
hsa-miR-520h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-522-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-522-3p,0,0,0,0,11,0,0,0,1,2,1,1,1,0,1,0,0
hsa-miR-519a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-519a-3p,0,0,0,3,34,0,4,2,7,6,8,6,0,8,0,0,0
hsa-miR-527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-516a-5p,0,0,0,2,23,0,1,8,3,14,3,2,2,0,2,2,0
hsa-miR-516a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-519a-2-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-499a-5p,0,0,14,87,433,4,116,66,85,825,211,50,266,454,331,198,205
hsa-miR-499a-3p,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-500a-5p,0,0,0,7,84,1,0,3,9,4,35,6,15,18,5,10,5
hsa-miR-500a-3p,0,0,1,28,111,1,21,29,12,21,54,11,24,16,23,21,5
hsa-miR-501-5p,0,0,1,0,24,0,6,3,11,7,5,2,5,0,1,8,0
hsa-miR-501-3p,0,0,5,67,432,9,88,43,70,118,208,40,134,70,192,78,39
hsa-miR-502-5p,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hsa-miR-502-3p,0,0,2,28,262,2,18,33,38,72,71,19,39,36,61,16,6
hsa-miR-450a-2-3p,1,1,1,6,10,0,10,6,2,17,6,2,1,0,4,8,0
hsa-miR-503-5p,6,11,287,534,2886,49,576,344,547,2672,444,204,754,422,822,1795,350
hsa-miR-503-3p,0,0,0,2,15,0,0,0,1,0,0,0,0,0,0,9,11
hsa-miR-504-5p,0,0,0,0,10,0,3,0,0,2,0,0,4,0,0,0,0
hsa-miR-504-3p,1,4,51,47,68,0,37,43,25,47,23,7,43,41,85,44,1
hsa-miR-505-5p,22,16,314,471,1205,32,378,323,212,414,479,131,347,302,248,410,125
hsa-miR-505-3p,0,0,6,65,385,7,91,43,79,128,94,29,68,83,138,110,32
hsa-miR-513a-5p,0,0,0,0,0,0,3,2,0,2,0,0,0,3,1,5,0
hsa-miR-513a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-506-5p,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-506-3p,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
hsa-miR-507,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
hsa-miR-508-5p,0,0,0,0,0,1,2,0,7,0,0,1,0,0,0,7,0
hsa-miR-508-3p,0,0,0,0,6,0,1,0,0,5,4,0,0,5,0,0,3
hsa-miR-509-5p,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-509-3p,0,1,2,0,5,2,3,0,0,4,0,0,5,0,2,6,1
hsa-miR-510-5p,0,0,0,0,17,0,0,0,2,3,0,0,0,0,0,0,0
hsa-miR-510-3p,0,0,0,0,3,0,0,0,3,0,0,0,1,0,2,0,0
hsa-miR-514a-5p,0,0,4,1,3,0,2,0,1,3,0,0,5,0,4,0,0
hsa-miR-514a-3p,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0
hsa-miR-532-5p,7,62,500,1754,6311,196,868,874,691,2867,1765,496,2079,1226,1847,1540,607
hsa-miR-532-3p,0,3,44,231,892,23,160,154,173,393,314,65,281,150,387,262,96
hsa-miR-455-5p,0,0,6,0,2,0,0,0,1,0,0,2,15,0,0,0,0
hsa-miR-455-3p,0,0,0,1,12,1,14,0,4,4,1,2,2,14,4,5,0
hsa-miR-539-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
hsa-miR-539-3p,0,0,1,3,10,0,5,6,5,14,2,1,10,0,5,0,0
hsa-miR-544a,0,0,0,2,3,0,0,0,1,4,0,0,1,0,0,0,0
hsa-miR-545-5p,0,0,6,31,114,0,43,25,43,170,27,18,49,58,49,35,54
hsa-miR-545-3p,0,0,0,12,51,0,12,10,7,43,22,8,16,16,19,14,8
