GeneID	GSM3295068	GSM3295077	GSM3295090	GSM3295097	GSM3295099
100287102	0	0	0	0	0
653635	0	0	0	1	0
102466751	0	0	0	0	0
107985730	0	0	0	0	0
100302278	0	0	0	0	0
645520	0	0	0	0	0
79501	0	0	0	0	0
100996442	0	0	0	0	0
729737	0	0	0	1	0
102725121	0	0	0	0	0
102723897	0	0	0	0	0
102465909	0	0	0	0	0
107985721	0	0	0	0	0
112268260	0	0	0	0	0
729759	0	0	0	0	0
100132287	0	0	0	0	0
105378947	0	0	0	0	0
101928626	0	0	0	0	0
113219467	13	7	9	6	8
81399	0	0	0	0	0
100133331	0	0	1	0	1
107984841	0	0	0	0	0
107984847	0	0	0	0	0
107984849	0	0	0	0	0
100288069	0	0	0	0	0
105378580	1	2	0	1	1
400728	0	0	0	1	0
79854	0	0	0	0	0
643837	1	0	0	0	0
107984850	0	0	0	0	0
284593	0	0	0	0	0
284600	0	0	0	0	0
100130417	0	0	0	0	0
107985728	0	0	0	0	0
148398	0	0	0	0	0
26155	5	3	0	0	1
339451	1	0	0	0	1
84069	0	0	0	1	0
84808	0	0	0	1	0
57801	1	0	0	2	1
9636	1	5	2	0	0
375790	9	7	7	3	2
100288175	0	0	0	0	0
112267874	0	0	0	0	0
105378948	0	0	0	0	0
401934	0	0	0	0	0
54991	0	1	1	0	0
254099	0	0	0	0	0
406984	0	0	0	0	0
406983	0	0	0	0	2
554210	0	2	0	0	0
100506376	0	0	0	0	0
254173	0	0	0	0	0
8784	0	0	0	0	0
7293	0	0	0	0	0
51150	3	3	4	4	2
126792	0	3	1	0	0
388581	0	0	0	0	0
118424	2	1	2	1	0
101928895	0	0	0	0	0
6339	0	0	0	0	1
116983	1	0	0	1	0
102465434	0	0	0	0	0
109623456	0	0	0	0	0
126789	1	0	0	0	1
54973	2	1	1	2	1
102465435	0	0	0	0	0
80772	3	0	0	1	1
83756	0	0	0	0	0
1855	4	0	0	1	1
102466740	0	0	0	0	0
54587	1	4	7	3	3
54998	2	0	1	1	2
81669	6	6	10	19	20
148413	1	1	1	0	1
55052	2	0	1	3	1
107984868	0	0	0	0	0
441869	0	0	0	0	0
105378585	0	0	0	0	0
643965	0	0	0	0	0
102724312	0	0	0	0	0
107985729	0	0	0	0	0
64856	0	0	0	0	0
219293	0	0	0	1	0
83858	1	0	0	0	0
55210	0	0	0	0	0
339453	0	0	0	0	0
29101	3	3	3	1	1
643988	0	0	0	0	0
105378586	0	0	0	0	0
142678	0	1	1	1	0
8510	0	0	0	0	0
984	1	0	0	2	2
728661	10	5	4	10	6
8511	0	0	0	0	0
728642	1	0	1	2	1
9906	8	4	2	7	5
112268218	0	0	0	1	0
65220	3	2	0	4	2
2782	33	34	14	19	16
105378949	0	0	0	0	0
163688	0	0	0	0	0
339456	0	0	0	0	0
85452	1	0	0	0	0
107984872	0	0	0	0	0
105378589	0	0	0	0	0
2563	0	0	0	0	0
105378590	0	0	0	0	0
105378591	0	0	0	0	0
5590	2	2	1	0	3
100506504	0	0	0	0	0
199990	2	0	0	0	2
112268219	0	2	0	0	0
105378593	0	0	0	0	0
6497	5	15	5	13	15
79906	1	0	0	0	0
100129534	0	0	0	0	0
11079	8	2	3	2	3
5192	0	0	0	0	3
9651	1	1	0	0	0
55229	1	0	0	1	0
388585	0	0	0	0	0
115110	0	0	0	1	1
8764	0	0	0	4	2
100996583	0	0	0	0	0
127281	0	1	1	0	1
79258	0	0	0	0	0
105378597	0	0	0	0	0
100287898	0	0	0	0	0
105378603	0	0	0	0	0
105378602	0	0	0	0	0
105378601	0	0	0	0	0
112268220	0	0	0	0	0
107985732	0	0	0	0	0
105378600	0	0	0	0	0
105378598	0	0	0	0	0
107984904	0	0	0	0	0
105378599	0	0	0	0	0
140625	0	0	0	0	0
440556	0	0	0	0	1
63976	0	0	0	0	0
100422968	0	0	0	0	0
105378606	0	0	0	0	0
107984909	0	0	0	0	0
105378605	0	0	0	0	0
105378604	0	0	0	0	0
27237	1	0	0	1	0
1953	0	3	4	1	1
105378608	0	0	0	0	0
693135	0	0	0	0	0
105378607	0	0	0	0	0
127262	1	3	1	4	0
49856	2	0	0	0	1
7161	0	0	0	0	0
105378610	0	0	0	0	0
105378609	0	0	0	0	0
57212	0	2	0	3	3
148870	0	0	0	0	0
388588	0	0	0	0	0
57470	3	4	0	3	0
9731	5	1	4	6	2
1677	0	2	0	1	0
107984910	0	0	0	0	0
339448	0	2	2	0	0
100133612	0	0	0	0	0
728716	0	0	0	0	0
105376672	0	0	0	0	0
105376673	0	0	0	0	0
284661	0	0	0	0	0
105376674	0	0	0	0	0
105376679	0	0	0	0	0
107985376	0	0	0	0	0
55966	0	0	0	0	0
105376680	0	0	0	0	0
102724429	0	0	0	0	0
105376681	0	0	0	0	0
105376682	0	0	0	0	0
107984911	0	0	0	0	1
105376686	0	0	0	0	0
100616421	0	0	0	0	0
261734	2	2	0	3	2
8514	1	1	0	0	2
26038	0	0	0	0	0
105376687	0	0	0	0	0
6146	10	9	9	12	10
107985733	0	0	0	0	0
102724450	0	0	0	0	0
388591	0	0	0	2	0
23463	3	2	3	4	2
148645	0	0	0	0	0
390992	0	0	0	0	0
387509	3	1	2	0	1
11332	0	2	0	0	0
54626	0	0	1	0	0
83715	1	0	0	0	0
100422975	0	0	0	0	0
8718	0	1	0	0	0
57449	1	0	0	1	2
79707	6	3	4	3	1
80835	0	0	0	0	0
107984912	0	0	0	0	0
3104	1	0	1	2	0
9903	3	4	0	3	2
107984913	0	0	0	1	0
148479	1	1	1	2	7
90326	0	0	0	1	1
55735	0	0	0	0	1
100505887	0	0	0	0	0
110841581	0	0	0	0	2
23261	0	3	5	4	1
105376692	0	0	0	0	0
102725193	0	0	0	1	0
101928836	0	0	0	0	0
105376691	0	0	0	0	0
105376689	0	0	0	1	4
9341	9	6	3	3	4
8863	2	0	5	16	8
10911	0	0	0	0	0
3604	2	0	0	0	0
11315	11	6	1	2	3
54206	7	11	12	74	28
107984915	0	0	0	0	0
102724539	0	0	0	0	0
105376695	0	0	0	0	0
50651	0	0	0	0	0
473	3	10	2	19	14
102724552	1	0	0	2	1
106632271	0	0	0	2	1
2023	28	29	26	16	9
102465436	0	0	0	0	1
100505975	0	0	0	0	0
112268261	0	0	0	0	0
765	0	0	0	0	1
155184	0	0	0	0	0
6518	1	1	0	0	0
80045	0	2	1	1	0
106614088	0	1	0	0	0
407040	0	1	0	0	0
102724571	0	0	0	0	0
9563	8	12	2	12	12
80176	0	0	0	1	2
100506022	0	0	0	0	0
84275	2	2	0	1	2
199953	0	0	0	0	1
107985734	0	0	0	0	0
105376712	0	0	0	0	0
5293	2	2	0	0	1
644997	0	0	0	0	0
101929074	1	0	0	0	0
22883	10	13	5	11	10
56998	2	2	2	3	1
105376717	0	0	0	0	0
84328	3	2	5	5	6
64802	2	0	0	2	0
113391335	0	0	0	0	0
100847055	0	0	0	0	0
116362	0	0	0	0	1
10277	4	10	3	11	18
23095	15	6	3	10	16
105376725	0	0	0	1	0
5226	11	3	9	2	5
100526739	0	0	0	1	0
378708	0	0	0	1	0
1325	0	0	0	0	0
1676	2	1	0	2	2
5195	0	0	0	0	2
54897	1	1	2	9	3
105376733	0	0	0	0	0
105376735	0	0	0	0	0
148345	0	0	0	0	0
23435	14	8	4	18	6
10747	0	0	0	2	0
6723	1	4	0	0	0
5394	4	1	1	2	5
105376736	0	0	0	0	0
2475	8	5	4	9	8
100873935	0	0	0	0	0
10218	0	0	0	0	1
29914	1	0	1	2	2
105376737	0	0	0	0	0
105376739	0	0	0	0	0
105376740	0	0	0	0	0
57540	0	0	0	0	0
112268221	0	0	0	0	0
101929181	0	0	0	0	0
26232	0	0	0	1	0
93611	1	0	0	1	3
26270	0	0	0	0	0
10459	0	1	2	0	1
374946	0	0	0	0	0
57085	2	0	1	0	0
284498	0	2	0	0	1
102724659	0	0	0	0	0
4524	6	4	1	2	1
1185	0	1	0	3	5
100379251	0	0	0	0	1
4878	0	0	0	0	1
4879	0	0	0	0	0
