Feature,Importance
hsa-miR-16-5p,0.023405299669462528
hsa-miR-3529-3p,0.021262826360829393
hsa-miR-7-5p,0.016786189372333823
hsa-miR-142-3p,0.015151235383318471
hsa-miR-26a-5p,0.012450900187896687
hsa-miR-19b-3p,0.011056400141250628
hsa-miR-486-3p,0.009713904991709125
hsa-miR-29c-3p,0.00938089423292949
hsa-miR-3591-3p,0.009367402996931097
hsa-miR-122-5p,0.008783006611525628
hsa-let-7f-5p,0.008072811261316872
hsa-miR-20a-5p,0.008026490681813457
hsa-miR-451a,0.007838334234416986
hsa-miR-3184-3p,0.007334958925408929
hsa-miR-144-3p,0.007240221536399924
hsa-miR-92a-3p,0.007215356341325431
hsa-miR-339-5p,0.007110141458440918
hsa-miR-320a,0.007036676656548656
hsa-miR-362-3p,0.007021665711687731
hsa-miR-454-3p,0.006852070277559439
hsa-miR-19a-3p,0.006798657028691875
hsa-miR-374b-5p,0.006564189981790651
hsa-miR-125b-2-3p,0.00652501921598681
hsa-miR-664a-3p,0.006295999674571735
hsa-miR-576-5p,0.006294346085945032
hsa-miR-130a-3p,0.006230855289960848
hsa-miR-17-5p,0.006192093076237775
hsa-let-7g-5p,0.00616664224351999
hsa-miR-26b-5p,0.006159834761298758
hsa-miR-423-3p,0.006074405823892966
hsa-miR-142-5p,0.006067935719575824
hsa-miR-151a-5p,0.006048767666883274
hsa-miR-96-5p,0.0060068269807508215
hsa-miR-107,0.0059654935584896
hsa-miR-4286,0.005959929194200144
hsa-miR-486-5p,0.005718148193044515
hsa-miR-190a-5p,0.005689572376666087
hsa-miR-22-3p,0.00561832760627824
hsa-miR-22-5p,0.005533013186627981
hsa-miR-101-3p,0.005521090223902816
hsa-miR-185-5p,0.005382321050133142
hsa-miR-186-5p,0.005343335802094815
hsa-let-7i-5p,0.005271583970033159
hsa-miR-18a-5p,0.00522839216243017
hsa-miR-126-3p,0.005210271684318108
hsa-miR-3074-5p,0.005158134309812041
hsa-miR-15b-5p,0.005117285437373651
hsa-miR-30b-5p,0.005021645654755814
hsa-miR-188-5p,0.005021037955897325
hsa-miR-191-5p,0.004997492142151987
hsa-miR-340-3p,0.0049189569191224365
hsa-miR-10a-5p,0.004700779974423823
hsa-miR-223-3p,0.0046349980332415245
hsa-miR-205-5p,0.004632018201137145
hsa-miR-3184-5p,0.004613771507508668
hsa-miR-326,0.004606365570342077
hsa-miR-494-3p,0.0045603944702213425
hsa-miR-30e-5p,0.004500111532745171
hsa-miR-151b,0.004423575486670117
