Type,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,Control,Control,Control,Control,Control,Control,Control,BreastC,BreastC,HepatocelularC,BreastC,BreastC,ColonC,GallbladderC
Sample_id,KS0001,KS0002,KS0003,KS0004,KS0005,KS0007_scarce,KS0008_scarce,KS0009,KS0010,KS0011,KS0012,KS0013,KS0014,KS0016_Lowqual,KS0017_Lowqual,KS0019,KS0021,KS0022,KS0023,KS0024,KS0025,KS0026,KS0027,KS0028,KS0029
hsa-miR-519b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-519b-3p,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hsa-miR-525-5p,2,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hsa-miR-525-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
hsa-miR-523-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-523-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
hsa-miR-518f-5p,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-518f-3p,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,1,0,2,0,0,3,0,8
hsa-miR-520b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-520b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-518b,11,27,22,46,12,0,0,0,5,0,16,1,3,0,0,2,1,37,10,7,6,2,7,11,0
hsa-miR-526a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-526a-3p,2,2,67,0,3,0,0,0,0,0,5,0,0,1,0,2,4,4,4,1,1,0,0,2,0
hsa-miR-520c-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-520c-3p,0,2,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0
hsa-miR-518c-5p,0,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,5,0,0,0
hsa-miR-518c-3p,12,20,0,31,13,0,1,5,4,1,17,0,1,0,0,1,2,16,0,5,6,4,3,0,0
hsa-miR-524-5p,12,6,31,33,0,0,0,0,2,0,29,1,3,1,4,3,4,36,3,0,2,0,9,4,12
hsa-miR-524-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-517-5p,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,2,0
hsa-miR-517a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-519d-5p,8,2,4,0,1,0,0,0,1,0,3,0,3,0,0,0,1,6,0,0,0,0,0,9,0
hsa-miR-519d-3p,0,0,6,0,0,0,0,0,0,0,2,0,1,0,0,0,4,1,4,0,0,0,0,0,0
hsa-miR-521,10,3,214,3,5,0,0,3,1,1,36,3,10,18,0,1,20,1,14,4,4,0,7,13,7
hsa-miR-520d-5p,0,0,0,1,0,0,0,0,0,0,0,1,0,10,0,3,0,0,2,0,0,0,0,0,0
hsa-miR-520d-3p,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-517b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-520g-5p,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,4,0
hsa-miR-520g-3p,6,6,1,27,6,0,1,0,1,0,10,3,10,0,0,0,0,11,4,1,5,2,0,4,0
hsa-miR-516b-5p,1,1,13,4,12,0,0,5,2,0,13,0,0,0,0,0,4,1,3,0,0,0,0,0,0
hsa-miR-516b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-518e-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-518e-3p,0,0,0,7,0,0,0,0,3,0,16,1,0,0,0,4,2,4,0,0,0,0,2,0,0
hsa-miR-518a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-518a-3p,0,1,4,0,6,0,0,1,0,0,15,1,0,0,0,0,0,2,0,0,1,0,0,0,0
hsa-miR-518d-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-518d-3p,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,1,0,0,0
hsa-miR-517c-3p,6,0,0,9,3,0,0,0,5,0,19,0,7,0,0,1,2,30,3,5,3,7,6,0,0
hsa-miR-520h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-522-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-522-3p,0,2,0,0,5,0,0,0,0,0,11,0,0,0,0,0,1,2,1,1,1,0,1,0,0
hsa-miR-519a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-519a-3p,4,6,23,7,13,0,0,0,3,0,34,0,4,0,1,2,7,6,8,6,0,8,0,0,0
hsa-miR-527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-516a-5p,32,1,12,21,6,0,0,0,2,0,23,0,1,2,0,8,3,14,3,2,2,0,2,2,0
hsa-miR-516a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-519a-2-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-499a-5p,466,625,397,835,445,0,0,14,87,5,433,4,116,32,27,66,85,825,211,50,266,454,331,198,205
hsa-miR-499a-3p,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-500a-5p,8,32,14,16,9,0,0,0,7,0,84,1,0,1,3,3,9,4,35,6,15,18,5,10,5
hsa-miR-500a-3p,55,112,71,128,22,0,0,1,28,1,111,1,21,1,0,29,12,21,54,11,24,16,23,21,5
hsa-miR-501-5p,15,12,15,18,7,0,0,1,0,1,24,0,6,0,0,3,11,7,5,2,5,0,1,8,0
hsa-miR-501-3p,252,393,242,470,97,0,0,5,67,1,432,9,88,5,9,43,70,118,208,40,134,70,192,78,39
hsa-miR-502-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hsa-miR-502-3p,85,164,98,115,96,0,0,2,28,2,262,2,18,10,6,33,38,72,71,19,39,36,61,16,6
hsa-miR-450a-2-3p,16,28,18,51,16,1,1,1,6,0,10,0,10,0,2,6,2,17,6,2,1,0,4,8,0
hsa-miR-503-5p,1854,4500,3612,6799,1669,6,11,287,534,40,2886,49,576,210,69,344,547,2672,444,204,754,422,822,1795,350
hsa-miR-503-3p,3,1,3,0,0,0,0,0,2,0,15,0,0,2,0,0,1,0,0,0,0,0,0,9,11
hsa-miR-504-5p,4,3,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,2,0,0,4,0,0,0,0
hsa-miR-504-3p,126,164,134,355,23,1,4,51,47,5,68,0,37,21,7,43,25,47,23,7,43,41,85,44,1
hsa-miR-505-5p,742,918,240,1239,346,22,16,314,471,18,1205,32,378,21,63,323,212,414,479,131,347,302,248,410,125
hsa-miR-505-3p,203,359,155,464,118,0,0,6,65,1,385,7,91,15,12,43,79,128,94,29,68,83,138,110,32
hsa-miR-513a-5p,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,2,0,0,0,3,1,5,0
hsa-miR-513a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-506-5p,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-506-3p,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-507,2,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
hsa-miR-508-5p,1,0,0,10,1,0,0,0,0,0,0,1,2,0,0,0,7,0,0,1,0,0,0,7,0
hsa-miR-508-3p,4,14,7,32,3,0,0,0,0,0,6,0,1,0,0,0,0,5,4,0,0,5,0,0,3
hsa-miR-509-5p,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-509-3p,0,0,2,2,0,0,1,2,0,0,5,2,3,0,0,0,0,4,0,0,5,0,2,6,1
hsa-miR-510-5p,1,9,18,12,0,0,0,0,0,0,17,0,0,0,2,0,2,3,0,0,0,0,0,0,0
hsa-miR-510-3p,0,7,0,0,5,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,1,0,2,0,0
hsa-miR-514a-5p,0,12,2,5,1,0,0,4,1,0,3,0,2,0,0,0,1,3,0,0,5,0,4,0,0
hsa-miR-514a-3p,4,12,0,19,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,2,0,0
hsa-miR-532-5p,4341,8988,2988,10144,2571,7,62,500,1754,91,6311,196,868,347,387,874,691,2867,1765,496,2079,1226,1847,1540,607
hsa-miR-532-3p,530,723,317,1282,296,0,3,44,231,16,892,23,160,44,43,154,173,393,314,65,281,150,387,262,96
hsa-miR-455-5p,1,0,0,11,0,0,0,6,0,0,2,0,0,0,0,0,1,0,0,2,15,0,0,0,0
hsa-miR-455-3p,2,4,10,8,2,0,0,0,1,0,12,1,14,0,3,0,4,4,1,2,2,14,4,5,0
hsa-miR-539-5p,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
hsa-miR-539-3p,7,34,4,11,5,0,0,1,3,0,10,0,5,4,0,6,5,14,2,1,10,0,5,0,0
hsa-miR-544a,1,4,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,4,0,0,1,0,0,0,0
hsa-miR-545-5p,189,298,99,189,46,0,0,6,31,0,114,0,43,10,9,25,43,170,27,18,49,58,49,35,54
hsa-miR-545-3p,45,56,33,75,20,0,0,0,12,3,51,0,12,15,3,10,7,43,22,8,16,16,19,14,8
hsa-miR-376a-2-5p,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-487b-5p,4,7,11,1,0,0,0,0,0,0,3,0,4,0,0,2,2,2,0,0,0,2,1,8,0
hsa-miR-487b-3p,820,2181,301,738,141,0,6,76,363,11,679,13,734,199,124,310,403,492,241,44,397,410,446,81,41
hsa-miR-551a,0,2,2,5,2,0,0,0,2,0,3,1,1,0,0,0,0,2,0,2,0,0,0,8,0
hsa-miR-552-5p,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0
hsa-miR-552-3p,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0
hsa-miR-553,2,2,0,7,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-554,1,1,3,13,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,4
hsa-miR-92b-5p,55,84,49,154,39,0,2,11,43,3,169,8,19,0,3,10,22,35,37,9,76,20,27,94,10
hsa-miR-92b-3p,791,1431,1194,1812,540,9,28,565,611,55,2471,92,809,141,121,542,435,357,1130,174,403,685,607,811,220
hsa-miR-555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0
hsa-miR-556-5p,1684,3446,636,2937,676,0,6,88,248,15,364,1,292,42,42,269,272,1116,277,123,330,487,371,302,143
hsa-miR-556-3p,134,304,144,307,58,0,0,6,72,7,134,2,101,6,7,51,65,127,66,33,52,93,67,28,42
hsa-miR-557,3,1,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1,4,0,10,0
hsa-miR-558,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,2,1,1,0,0,0,0,0
hsa-miR-559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-561-5p,0,3,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hsa-miR-561-3p,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0
hsa-miR-562,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-563,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-567,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
hsa-miR-568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-551b-5p,24,14,870,42,18,0,0,9,10,0,6,1,21,0,3,14,14,13,0,1,8,0,15,3,7
hsa-miR-551b-3p,1,3,4,0,2,0,0,0,4,0,7,0,1,0,1,9,8,11,4,1,0,4,0,0,5
hsa-miR-569,0,0,6,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-570-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-570-3p,28,152,15,190,39,0,1,0,17,2,92,2,27,16,2,16,17,47,40,11,45,17,54,8,3
hsa-miR-571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
hsa-miR-572,0,1,15,0,0,0,0,0,1,0,5,0,0,0,0,2,0,0,0,0,0,0,0,1,0
hsa-miR-573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hsa-miR-574-5p,8058,11442,2665,8561,2948,79,127,2258,3416,128,2643,82,2129,93,412,2520,1351,4908,2657,744,1891,3474,3538,1882,941
hsa-miR-574-3p,1389,1616,741,1527,551,2,7,97,579,33,704,35,488,150,76,787,640,1557,531,265,436,630,531,308,189
hsa-miR-575,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-576-5p,359,606,691,1003,507,0,5,51,164,6,901,35,280,49,29,129,229,280,381,104,194,228,206,260,87
hsa-miR-576-3p,67,77,93,93,62,0,0,1,20,0,140,2,23,2,2,10,26,40,25,9,21,33,47,78,19
hsa-miR-577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-578,0,0,2,6,4,0,0,0,2,0,10,0,0,0,0,0,0,0,6,0,0,0,0,0,9
hsa-miR-579-5p,99,201,33,193,52,0,2,3,30,1,50,0,18,6,7,27,13,69,27,4,52,29,52,49,6
hsa-miR-579-3p,83,112,46,122,47,0,1,0,14,1,79,1,11,7,0,7,17,64,22,7,28,38,26,24,6
hsa-miR-580-5p,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
hsa-miR-580-3p,23,32,2,21,0,0,0,0,1,0,3,4,2,0,0,3,1,12,5,5,3,9,4,10,0
hsa-miR-581,0,5,2,0,3,0,0,0,0,0,0,0,2,0,0,0,4,0,11,0,2,0,0,0,0
hsa-miR-582-5p,4,11,3,16,24,0,0,0,4,0,15,1,0,0,1,0,5,10,11,1,0,0,1,0,3
hsa-miR-582-3p,1,6,6,26,9,0,0,0,1,0,9,0,2,0,0,0,0,9,4,1,3,1,2,0,0
hsa-miR-583,0,0,0,1,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,4,0
hsa-miR-584-5p,480,1079,189,1127,161,3,7,74,256,24,429,8,198,42,49,493,271,694,309,85,198,501,387,197,57
hsa-miR-584-3p,5,9,0,23,6,0,0,0,4,0,2,0,0,0,0,3,1,5,0,0,4,3,0,3,0
hsa-miR-585-5p,0,3,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0
hsa-miR-585-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548a-3p,63,106,63,73,17,0,0,0,10,1,29,0,8,0,4,13,19,77,11,6,8,10,36,3,13
hsa-miR-586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
hsa-miR-587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548b-5p,3,4,5,1,3,0,0,0,0,0,0,0,3,0,0,1,5,0,2,0,0,1,4,0,0
hsa-miR-548b-3p,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0
hsa-miR-588,0,1,11,3,0,0,0,0,0,0,2,0,7,0,0,0,1,0,0,1,0,2,8,0,0
hsa-miR-589-5p,427,983,586,1473,319,3,7,66,263,10,521,11,145,76,27,173,99,442,233,84,198,218,346,212,77
hsa-miR-589-3p,60,95,30,178,30,0,0,1,18,0,41,0,32,3,4,13,18,63,19,14,13,35,36,8,14
hsa-miR-550a-5p,1054,1342,399,2114,495,7,14,152,235,14,1002,21,158,45,68,267,154,395,487,58,441,227,263,341,133
hsa-miR-550a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-590-5p,326,501,186,480,93,0,1,6,64,4,164,3,64,10,5,56,89,279,63,50,61,104,71,66,51
hsa-miR-590-3p,5503,11304,3753,10184,2734,1,11,190,660,36,2519,30,1673,180,99,613,1217,5988,1312,926,1715,2924,1902,1589,1136
hsa-miR-591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-592,6,14,15,37,6,0,0,0,2,1,13,0,0,0,0,0,2,4,5,3,8,18,3,81,0
hsa-miR-593-5p,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
hsa-miR-593-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-595,0,1,0,0,2,0,0,4,1,0,9,2,0,0,0,0,0,0,0,0,0,2,0,2,0
hsa-miR-596,6,9,13,10,0,0,0,1,8,0,16,0,7,0,0,0,0,13,2,2,5,20,3,0,1
hsa-miR-597-5p,2,2,0,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-597-3p,0,1,0,0,4,0,0,0,2,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0
hsa-miR-598-5p,2,8,10,8,1,0,0,5,2,3,7,0,2,0,0,2,0,4,3,0,3,7,1,3,0
hsa-miR-598-3p,2502,6156,2099,4458,1542,3,15,258,903,67,1445,39,714,111,189,810,453,2585,694,270,802,779,927,957,313
hsa-miR-599,2,5,0,25,10,0,0,2,0,0,6,0,0,0,0,4,0,0,3,0,1,0,3,0,0
hsa-miR-548a-5p,492,1009,557,789,215,0,0,16,65,7,284,2,187,16,14,99,141,304,154,77,123,224,297,129,113
hsa-miR-600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
hsa-miR-601,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,5,0,0
hsa-miR-602,0,0,17,0,0,0,0,0,0,0,2,0,2,0,0,1,7,0,0,0,0,0,0,0,0
hsa-miR-603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
hsa-miR-604,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7
hsa-miR-605-5p,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hsa-miR-605-3p,7,21,5,20,12,0,0,3,18,3,12,0,17,0,2,5,17,16,18,14,13,3,4,15,0
hsa-miR-606,0,0,59,4,0,0,0,0,0,0,1,1,0,0,0,0,4,0,1,0,3,0,1,0,0
hsa-miR-607,0,0,0,0,0,0,0,0,0,0,17,0,0,3,0,0,0,1,0,0,1,0,0,0,0
hsa-miR-608,0,1,0,0,0,0,0,4,1,0,9,2,0,0,0,0,2,3,0,0,4,4,3,2,0
hsa-miR-609,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
hsa-miR-610,12,23,0,29,13,0,1,1,6,1,17,0,6,0,0,4,3,6,5,2,15,8,3,12,0
hsa-miR-611,5,14,28,22,4,0,0,0,1,1,7,0,0,0,0,0,3,1,0,0,3,0,3,17,1
hsa-miR-612,2,2,2,0,3,0,0,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-613,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hsa-miR-614,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
hsa-miR-615-5p,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-615-3p,3,10,61,9,5,0,0,0,1,0,3,0,2,2,1,0,2,7,2,2,1,4,18,0,6
hsa-miR-616-5p,0,4,0,8,0,0,0,0,3,0,0,0,0,0,0,1,1,6,0,0,0,3,4,6,2
hsa-miR-616-3p,42,44,33,67,8,1,0,18,7,2,44,2,8,0,3,15,8,15,17,8,16,15,18,9,17
hsa-miR-548c-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548c-3p,3,1,5,10,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,1,0
hsa-miR-617,0,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-618,1,11,7200,243,36,1,2,8,7,0,58,1,4,0,0,0,1,0,13,0,0,0,2,6,7
hsa-miR-619-5p,24,42,27,52,21,0,0,5,13,0,19,2,6,3,1,14,5,13,20,2,7,12,10,23,1
hsa-miR-619-3p,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-620,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-621,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-622,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
hsa-miR-623,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
hsa-miR-624-5p,72,121,65,137,54,0,0,9,33,0,219,12,10,8,6,30,18,72,44,9,41,17,17,53,14
hsa-miR-624-3p,3,5,15,11,2,0,0,0,4,1,4,0,0,1,0,0,0,2,0,0,2,10,1,0,0
hsa-miR-625-5p,8495,7666,2096,9436,2820,21,77,700,2085,126,2315,45,1264,184,343,2225,791,5561,1602,421,1138,1422,1726,1522,492
hsa-miR-625-3p,226,155,28,220,94,0,0,9,49,2,85,2,48,3,8,89,82,352,81,21,45,61,55,18,0
hsa-miR-626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,8
hsa-miR-627-5p,131,289,93,314,88,0,0,4,15,1,61,0,18,4,3,19,34,92,41,53,50,69,108,83,34
hsa-miR-627-3p,0,2,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hsa-miR-628-5p,1083,2136,497,2006,333,0,3,119,268,7,397,12,339,41,40,283,239,636,363,106,291,684,448,306,180
hsa-miR-628-3p,1497,2947,671,3570,875,4,16,457,502,12,986,8,564,86,125,618,526,1432,634,219,584,770,697,463,280
hsa-miR-629-5p,2903,3864,1481,6727,2619,8,32,415,663,22,5088,59,698,132,94,577,423,1240,1309,246,1549,914,2050,2428,390
hsa-miR-629-3p,38,45,28,131,10,0,0,1,4,1,21,0,7,13,1,6,16,18,15,3,7,25,12,30,8
hsa-miR-630,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
hsa-miR-631,0,0,2,6,1,0,0,0,0,0,0,1,0,5,0,2,1,1,0,0,0,0,1,13,0
hsa-miR-33b-5p,21,54,8,39,7,0,0,0,1,0,48,2,0,0,1,1,0,8,3,0,0,18,8,7,0
hsa-miR-33b-3p,7,5,19,6,1,0,0,0,1,0,3,0,0,0,0,2,0,2,0,0,1,0,11,6,0
hsa-miR-632,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
hsa-miR-633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-634,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0
hsa-miR-635,1,0,0,2,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,2,0,0,0,0
hsa-miR-636,17,24,7,75,18,0,0,0,12,1,69,4,7,0,1,7,5,7,18,2,32,7,9,17,5
hsa-miR-637,0,1,73,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0
hsa-miR-638,14,17,27,29,7,0,0,4,3,1,20,0,10,6,1,3,4,13,3,1,1,16,7,11,0
hsa-miR-639,1,2,72,13,1,0,1,4,1,0,3,0,0,0,1,3,0,0,2,2,2,0,5,8,0
hsa-miR-640,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-641,159,302,134,375,78,0,2,56,64,3,145,0,49,18,4,57,25,228,141,20,63,129,124,42,30
hsa-miR-642a-5p,3,1,2,10,8,0,0,0,4,0,3,0,1,0,1,2,7,4,5,1,0,3,2,1,0
hsa-miR-642a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-643,12,19,19,27,16,0,0,0,17,0,11,1,9,6,0,1,3,14,18,4,4,9,4,0,0
hsa-miR-644a,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
hsa-miR-645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-646,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-647,0,0,0,0,2,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-648,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
