Feature,Importance
hsa-miR-891a-3p,0.010297977780161482
hsa-miR-5590-5p,0.009809958751126419
hsa-miR-34a-3p,0.00944363027943564
hsa-miR-1302,0.009236872689433762
hsa-miR-1184,0.009118426293071942
hsa-miR-6769b-3p,0.008162740477091611
hsa-miR-6808-3p,0.008103633654721365
hsa-miR-3924,0.008045873341378866
hsa-miR-3127-3p,0.007942001812573455
hsa-miR-6811-3p,0.007769535469580644
hsa-miR-4273,0.0074257318578905065
hsa-miR-4426,0.00720195359297368
hsa-miR-5092,0.007174230417181411
hsa-miR-7109-5p,0.007082278724663643
hsa-miR-12113,0.0069588112797683965
hsa-miR-3659,0.006948380594609295
hsa-miR-3912-3p,0.006815522256109755
hsa-miR-5697,0.006712264565845715
hsa-miR-6810-5p,0.006709719498002589
hsa-miR-4441,0.00667393692437653
hsa-miR-200b-5p,0.006653647981209336
hsa-miR-4465,0.006451178285675632
hsa-miR-4689,0.006227510333326266
hsa-miR-12116,0.00598297804593591
hsa-miR-571,0.005866320313746992
hsa-miR-4797-5p,0.005806761716051907
hsa-miR-6829-3p,0.005783392414575274
hsa-miR-4787-3p,0.005686757965950989
hsa-miR-4251,0.0056812951568822
hsa-miR-367-3p,0.005469537587139746
hsa-miR-6888-5p,0.0054637512874539836
hsa-miR-96-3p,0.005451543374727961
hsa-miR-3934-3p,0.005354561305964611
hsa-miR-548aq-5p,0.005308950092899477
hsa-miR-4305,0.005143770476150564
hsa-miR-7853-5p,0.005075341217422578
hsa-miR-3129-3p,0.0049995942413303554
hsa-miR-12120,0.0049951805631831625
hsa-miR-4796-3p,0.004922203250534276
hsa-miR-6757-3p,0.004625543577121255
hsa-miR-146a-3p,0.0045612939668473445
hsa-miR-6732-5p,0.004543303481199061
hsa-miR-128-1-5p,0.0043926317739193645
hsa-miR-5003-3p,0.004334880610836093
hsa-miR-4799-3p,0.004279041546058974
hsa-miR-5581-3p,0.004240110283857644
hsa-miR-4774-5p,0.004188271082145271
hsa-miR-576-5p,0.004059875115536503
hsa-miR-4773,0.004009421096356517
hsa-miR-200a-5p,0.003996143022360902
hsa-miR-4778-3p,0.0039671272142248306
hsa-miR-513b-3p,0.003929876855018633
hsa-miR-1324,0.003866381522507846
hsa-miR-1245a,0.0038418065125202716
hsa-miR-2276-3p,0.0037783436355652176
hsa-miR-2115-5p,0.0037194498812655862
hsa-miR-302b-3p,0.0037134622482308138
hsa-miR-4266,0.003709130892549962
hsa-miR-7845-5p,0.003660498558385235
hsa-miR-569,0.0036604224201993284
hsa-miR-26b-5p,0.003644390090716356
hsa-miR-4735-3p,0.0035713809119266456
hsa-miR-6875-5p,0.0035263565760831873
hsa-miR-1278,0.003514233369092372
hsa-miR-429,0.0035004617785394073
hsa-miR-4788,0.003483600633584188
hsa-miR-4640-3p,0.0034812628379103754
hsa-miR-4800-5p,0.0034765261718261884
hsa-miR-6827-3p,0.003428245550815216
hsa-miR-4435,0.0033954867660947546
hsa-miR-7151-3p,0.0033831443570169887
hsa-miR-183-5p,0.0033566584034745413
hsa-miR-4428,0.0032889873993222035
hsa-miR-6846-3p,0.0032409740087332942
hsa-miR-3121-5p,0.0032325498172532737
hsa-miR-6506-5p,0.0031625692451372855
